name	net_charge	identifier	smiles	value	branching_ratio	experimental_or_predicted	temperature	doi	url	remark
Atorvastatin	-2	atorvastatin_-2_3	CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CCC([O-])CC(O)CC([O-])=O)-c1ccccc1							
Atorvastatin	-2	atorvastatin_-2_1	CC(C)c1c(C(=O)[N-]c2ccccc2)c(c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC([O-])=O)-c1ccccc1							
Atorvastatin	-3	atorvastatin_-3_2	CC(C)c1c(C(=O)[N-]c2ccccc2)c(c(-c2ccc(F)cc2)n1CCC([O-])CC(O)CC([O-])=O)-c1ccccc1							
Atorvastatin	-3	atorvastatin_-3_1	CC(C)c1c(C(=O)[N-]c2ccccc2)c(c(-c2ccc(F)cc2)n1CCC(O)CC([O-])CC([O-])=O)-c1ccccc1							
Atorvastatin	-3	atorvastatin_-3_3	CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CCC([O-])CC([O-])CC([O-])=O)-c1ccccc1							
Atorvastatin	-4	atorvastatin_-4_1	CC(C)c1c(C(=O)[N-]c2ccccc2)c(c(-c2ccc(F)cc2)n1CCC([O-])CC([O-])CC([O-])=O)-c1ccccc1	100						
										
Simvastatin	0	simvastatin_0_1	CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12							
Simvastatin	-1	simvastatin_-1_1	CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC([O-])CC(=O)O3)C12	100						
										
Propranolol	0	propranolol_0_1	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12							
Propranolol	-1	propranolol_-1_1	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC([O-])CC(=O)O3)C12	100						
										
Atenolol	2	atenolol_2_1	CC(C)[NH2+]CC(O)COc1ccc(CC(N)=[OH+])cc1							
Atenolol	1	atenolol_1_1	CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1							
Atenolol	0	atenolol_0_1	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1							
Atenolol	-1	atenolol_-1_1	CC(C)NCC([O-])COc1ccc(CC(N)=O)cc1							
Atenolol	-1	atenolol_-1_2	CC(C)NCC(O)COc1ccc(CC([NH-])=O)cc1							
Atenolol	-2	atenolol_-2_1	CC(C)NCC([O-])COc1ccc(CC([NH-])=O)cc1	100						
										
Metoprolol	1	metoprolol_1_1	COCCc1ccc(OCC(O)C[NH2+]C(C)C)cc1							
Metoprolol	0	metoprolol_0_1	COCCc1ccc(OCC(O)CNC(C)C)cc1							
Metoprolol	-1	metoprolol_-1_1	COCCc1ccc(OCC([O-])CNC(C)C)cc1	100						
										
Diclofenac	1	diclofenac_1_1	OC(=O)Cc1ccccc1[NH2+]c1c(Cl)cccc1Cl							
Diclofenac	0	diclofenac_0_1	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl							
Diclofenac	-1	diclofenac_-1_1	[O-]C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl	100						
										
Acetaminophen	0	acetaminophen_0_1	CC(=O)Nc1ccc(O)cc1							
Acetaminophen	-1	acetaminophen_-1_1	CC(=O)Nc1ccc([O-])cc1							
Acetaminophen	-2	acetaminophen_-2_1	CC(=O)[N-]c1ccc([O-])cc1	100						
										
Carbamazepine	1	carbamazepine_1_1	OC(=[NH2+])N1c2ccccc2C=Cc2ccccc12							
Carbamazepine	0	carbamazepine_0_1	OC(=N)N1c2ccccc2C=Cc2ccccc12							
Carbamazepine	0	carbamazepine_0_2	[O-]C(=[NH2+])N1c2ccccc2C=Cc2ccccc12							
Carbamazepine	-1	carbamazepine_-1_1	[O-]C(=N)N1c2ccccc2C=Cc2ccccc12	100						
										
Lincomycin	2	lincomycin_2_1	CCCC1CC([NH+](C)C1)C(=[OH+])NC(C(C)O)C1OC(SC)C(O)C(O)C1O							
Lincomycin	1	lincomycin_1_1	CCCC1CC([NH+](C)C1)C(=O)NC(C(C)O)C1OC(SC)C(O)C(O)C1O							
Lincomycin	0	lincomycin_0_1	CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C1OC(SC)C(O)C(O)C1O							
Lincomycin	-1	lincomycin_-1_3	CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C1OC(SC)C(O)C([O-])C1O							
Lincomycin	-1	lincomycin_-1_5	CCCC1CC(N(C)C1)C(=O)NC(C(C)[O-])C1OC(SC)C(O)C(O)C1O							
Lincomycin	-1	lincomycin_-1_4	CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C1OC(SC)C(O)C(O)C1[O-]							
Lincomycin	-1	lincomycin_-1_1	CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C1OC(SC)C([O-])C(O)C1O							
Lincomycin	-1	lincomycin_-1_2	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)O)C1OC(SC)C(O)C(O)C1O							
Lincomycin	-2	lincomycin_-2_9	CCCC1CC(N(C)C1)C(=O)NC(C(C)[O-])C1OC(SC)C(O)C([O-])C1O							
Lincomycin	-2	lincomycin_-2_10	CCCC1CC(N(C)C1)C(=O)NC(C(C)[O-])C1OC(SC)C(O)C(O)C1[O-]							
Lincomycin	-2	lincomycin_-2_5	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)O)C1OC(SC)C(O)C([O-])C1O							
Lincomycin	-2	lincomycin_-2_1	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)O)C1OC(SC)C([O-])C(O)C1O							
Lincomycin	-2	lincomycin_-2_2	CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C1OC(SC)C([O-])C([O-])C1O							
Lincomycin	-2	lincomycin_-2_3	CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C1OC(SC)C([O-])C(O)C1[O-]							
Lincomycin	-2	lincomycin_-2_4	CCCC1CC(N(C)C1)C(=O)NC(C(C)[O-])C1OC(SC)C([O-])C(O)C1O							
Lincomycin	-2	lincomycin_-2_6	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)O)C1OC(SC)C(O)C(O)C1[O-]							
Lincomycin	-2	lincomycin_-2_7	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)[O-])C1OC(SC)C(O)C(O)C1O							
Lincomycin	-2	lincomycin_-2_8	CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C1OC(SC)C(O)C([O-])C1[O-]							
Lincomycin	-3	lincomycin_-3_4	CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C1OC(SC)C([O-])C([O-])C1[O-]							
Lincomycin	-3	lincomycin_-3_5	CCCC1CC(N(C)C1)C(=O)NC(C(C)[O-])C1OC(SC)C([O-])C([O-])C1O							
Lincomycin	-3	lincomycin_-3_6	CCCC1CC(N(C)C1)C(=O)NC(C(C)[O-])C1OC(SC)C([O-])C(O)C1[O-]							
Lincomycin	-3	lincomycin_-3_7	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)O)C1OC(SC)C(O)C([O-])C1[O-]							
Lincomycin	-3	lincomycin_-3_8	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)[O-])C1OC(SC)C(O)C([O-])C1O							
Lincomycin	-3	lincomycin_-3_9	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)[O-])C1OC(SC)C(O)C(O)C1[O-]							
Lincomycin	-3	lincomycin_-3_3	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)[O-])C1OC(SC)C([O-])C(O)C1O							
Lincomycin	-3	lincomycin_-3_2	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)O)C1OC(SC)C([O-])C(O)C1[O-]							
Lincomycin	-3	lincomycin_-3_1	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)O)C1OC(SC)C([O-])C([O-])C1O							
Lincomycin	-4	lincomycin_-4_4	CCCC1CC(N(C)C1)C(=O)NC(C(C)[O-])C1OC(SC)C([O-])C([O-])C1[O-]							
Lincomycin	-4	lincomycin_-4_5	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)[O-])C1OC(SC)C(O)C([O-])C1[O-]							
Lincomycin	-4	lincomycin_-4_1	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)O)C1OC(SC)C([O-])C([O-])C1[O-]							
Lincomycin	-4	lincomycin_-4_2	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)[O-])C1OC(SC)C([O-])C([O-])C1O							
Lincomycin	-4	lincomycin_-4_3	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)[O-])C1OC(SC)C([O-])C(O)C1[O-]							
Lincomycin	-5	lincomycin_-5_1	CCCC1CC(N(C)C1)C(=O)[N-]C(C(C)[O-])C1OC(SC)C([O-])C([O-])C1[O-]	100						
										
Sulfathiazole	2	sulfathiazole_2_1	[NH3+]c1ccc(cc1)S(=O)(=O)Nc1[nH+]ccs1							
Sulfathiazole	1	sulfathiazole_1_1	Nc1ccc(cc1)S(=O)(=O)Nc1[nH+]ccs1							
Sulfathiazole	1	sulfathiazole_1_2	[NH3+]c1ccc(cc1)S(=O)(=O)Nc1nccs1							
Sulfathiazole	0	sulfathiazole_0_1	Nc1ccc(cc1)S(=O)(=O)Nc1nccs1							
Sulfathiazole	-1	sulfathiazole_-1_1	Nc1ccc(cc1)S(=O)(=O)[N-]c1nccs1	100						
										
Trimethoprim	2	trimethoprim_2_1	COc1cc(Cc2c[nH]c(=[NH2+])[nH]c2=[NH2+])cc(OC)c1OC							
Trimethoprim	1	trimethoprim_1_1	COc1cc(Cc2c[nH]c(=N)[nH]c2=[NH2+])cc(OC)c1OC							
Trimethoprim	1	trimethoprim_1_2	COc1cc(Cc2c[nH]c(=[NH2+])[nH]c2=N)cc(OC)c1OC							
Trimethoprim	0	trimethoprim_0_1	COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC							
Trimethoprim	-1	trimethoprim_-1_1	COc1cc(Cc2c[nH]c(=N)[n-]c2=N)cc(OC)c1OC	100						
										
Sulfamethazine	2	sulfamethazine_2_1	Cc1cc(C)[nH+]c(NS(=O)(=O)c2ccc([NH3+])cc2)n1							
Sulfamethazine	1	sulfamethazine_1_1	Cc1cc(C)nc(NS(=O)(=O)c2ccc([NH3+])cc2)n1							
Sulfamethazine	0	sulfamethazine_0_1	Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1							
Sulfamethazine	-1	sulfamethazine_-1_1	Cc1cc(C)nc([N-]S(=O)(=O)c2ccc(N)cc2)n1	100						
										
Sulfamethoxazole	2	sulfamethoxazole_2_1	Cc1cc(NS(=O)(=O)c2ccc([NH3+])cc2)[nH+]o1							
Sulfamethoxazole	1	sulfamethoxazole_1_1	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)[nH+]o1							
Sulfamethoxazole	1	sulfamethoxazole_1_2	Cc1cc(NS(=O)(=O)c2ccc([NH3+])cc2)no1							
Sulfamethoxazole	0	sulfamethoxazole_0_1	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1							
Sulfamethoxazole	-1	sulfamethoxazole_-1_1	Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2)no1	100						
										
Estrone	0	estrone_0_1	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2=O							
Estrone	-1	estrone_-1_1	CC12CCC3C(CCc4cc([O-])ccc34)C1CCC2=O	100						
										
Estriol	0	estriol_0_1	CC12CCC3C(CCc4cc(O)ccc34)C1CC(O)C2O							
Estriol	-1	estriol_-1_1	CC12CCC3C(CCc4cc([O-])ccc34)C1CC(O)C2O							
Estriol	-2	estriol_-2_1	CC12CCC3C(CCc4cc([O-])ccc34)C1CC(O)C2[O-]							
Estriol	-2	estriol_-2_2	CC12CCC3C(CCc4cc([O-])ccc34)C1CC([O-])C2O							
Estriol	-3	estriol_-3_1	CC12CCC3C(CCc4cc([O-])ccc34)C1CC([O-])C2[O-]	100						
										
17α-Ethinylestradiol	1	17α-ethinylestradiol_1_1	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2[OH2+]							
17α-Ethinylestradiol	0	17α-ethinylestradiol_0_1	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O							
17α-Ethinylestradiol	-1	17α-ethinylestradiol_-1_1	CC12CCC3C(CCc4cc([O-])ccc34)C1CCC2O	100						
										
17β-Estradiol	1	17β-estradiol_1_1	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2([OH2+])C#C							
17β-Estradiol	0	17β-estradiol_0_1	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C							
17β-Estradiol	-1	17β-estradiol_-1_1	CC12CCC3C(CCc4cc([O-])ccc34)C1CCC2(O)C#C	100						
										
Iopromide	1	iopromide_1_1	COCC(=O)Nc1c(I)c(C(=[OH+])NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	0	iopromide_0_1	COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	-1	iopromide_-1_2	COCC(=O)Nc1c(I)c(C(=O)[N-]CC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	-1	iopromide_-1_1	COCC(=O)[N-]c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	-2	iopromide_-2_4	COCC(=O)[N-]c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)C[O-])c1I							
Iopromide	-2	iopromide_-2_5	COCC(=O)[N-]c1c(I)c(C(=O)NCC(O)C[O-])c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	-2	iopromide_-2_6	COCC(=O)Nc1c(I)c(C(=O)[N-]CC(O)CO)c(I)c(C(=O)N(C)CC([O-])CO)c1I							
Iopromide	-2	iopromide_-2_3	COCC(=O)[N-]c1c(I)c(C(=O)NCC([O-])CO)c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	-2	iopromide_-2_2	COCC(=O)[N-]c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC([O-])CO)c1I							
Iopromide	-2	iopromide_-2_7	COCC(=O)Nc1c(I)c(C(=O)[N-]CC([O-])CO)c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	-2	iopromide_-2_1	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	-3	iopromide_-3_4	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC(O)C[O-])c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	-3	iopromide_-3_1	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC(O)CO)c(I)c(C(=O)N(C)CC([O-])CO)c1I							
Iopromide	-3	iopromide_-3_2	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC([O-])CO)c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	-3	iopromide_-3_3	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC(O)CO)c(I)c(C(=O)N(C)CC(O)C[O-])c1I							
Iopromide	-3	iopromide_-3_5	COCC(=O)[N-]c1c(I)c(C(=O)NCC([O-])CO)c(I)c(C(=O)N(C)CC([O-])CO)c1I							
Iopromide	-4	iopromide_-4_4	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC([O-])CO)c(I)c(C(=O)N(C)CC(O)C[O-])c1I							
Iopromide	-4	iopromide_-4_5	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC([O-])C[O-])c(I)c(C(=O)N(C)CC(O)CO)c1I							
Iopromide	-4	iopromide_-4_6	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC(O)C[O-])c(I)c(C(=O)N(C)CC(O)C[O-])c1I							
Iopromide	-4	iopromide_-4_3	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC(O)C[O-])c(I)c(C(=O)N(C)CC([O-])CO)c1I							
Iopromide	-4	iopromide_-4_2	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC(O)CO)c(I)c(C(=O)N(C)CC([O-])C[O-])c1I							
Iopromide	-4	iopromide_-4_1	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC([O-])CO)c(I)c(C(=O)N(C)CC([O-])CO)c1I							
Iopromide	-5	iopromide_-5_4	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC([O-])C[O-])c(I)c(C(=O)N(C)CC(O)C[O-])c1I							
Iopromide	-5	iopromide_-5_1	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC([O-])CO)c(I)c(C(=O)N(C)CC([O-])C[O-])c1I							
Iopromide	-5	iopromide_-5_2	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC([O-])C[O-])c(I)c(C(=O)N(C)CC([O-])CO)c1I							
Iopromide	-5	iopromide_-5_3	COCC(=O)[N-]c1c(I)c(C(=O)[N-]CC(O)C[O-])c(I)c(C(=O)N(C)CC([O-])C[O-])c1I	100						
										
Metformin	2	metformin_2_1	CN(C)C(=[NH2+])NC(N)=[NH2+]							
Metformin	1	metformin_1_1	CN(C)C(=N)NC(N)=[NH2+]							
Metformin	1	metformin_1_2	CN(C)C(=[NH2+])NC(N)=N							
Metformin	0	metformin_0_1	CN(C)C(=N)NC(N)=N	100						
										
Ibuprofen	0	ibuprofen_0_1	CC(C)Cc1ccc(cc1)C(C)C(O)=O							
Ibuprofen	-1	ibuprofen_-1_1	CC(C)Cc1ccc(cc1)C(C)C([O-])=O	100						
										
Naproxen	0	naproxen_0_1	COc1ccc2cc(ccc2c1)C(C)C(O)=O							
Naproxen	-1	naproxen_-1_1	COc1ccc2cc(ccc2c1)C(C)C([O-])=O	100						
										
Ranitidine	3	ranitidine_3_1	CNC([NH2+]CCSCC1=CC=C(C[NH+](C)C)[OH+]1)=C[N+]([O-])=O							
Ranitidine	3	ranitidine_3_2	C[NH2+]C(NCCSCC1=CC=C(C[NH+](C)C)[OH+]1)=C[N+]([O-])=O							
Ranitidine	2	ranitidine_2_1	CNC(NCCSCC1=CC=C(C[NH+](C)C)[OH+]1)=C[N+]([O-])=O							
Ranitidine	2	ranitidine_2_2	CNC([NH2+]CCSCc1ccc(C[NH+](C)C)o1)=C[N+]([O-])=O							
Ranitidine	2	ranitidine_2_3	C[NH2+]C(NCCSCc1ccc(C[NH+](C)C)o1)=C[N+]([O-])=O							
Ranitidine	1	ranitidine_1_1	CNC(NCCSCc1ccc(C[NH+](C)C)o1)=C[N+]([O-])=O							
Ranitidine	0	ranitidine_0_1	CNC(NCCSCc1ccc(CN(C)C)o1)=C[N+]([O-])=O	100						
										
Cimetidine	2	cimetidine_2_1	CNC(NC#N)=[NH+]CCSCc1[nH]c[nH+]c1C							
Cimetidine	1	cimetidine_1_1	CNC(NC#N)=NCCSCc1[nH]c[nH+]c1C							
Cimetidine	1	cimetidine_1_2	CNC(NC#N)=[NH+]CCSCc1[nH]cnc1C							
Cimetidine	0	cimetidine_0_1	CNC(NC#N)=NCCSCc1[nH]cnc1C							
Cimetidine	-1	cimetidine_-1_1	CNC(NC#N)=NCCSCc1[n-]cnc1C	100						
										
N,N’-Diethyltoluamide	1	n,n’-diethyltoluamide_1_1	CCN(CC)C(=[OH+])c1cccc(C)c1							
N,N’-Diethyltoluamide	0	n,n’-diethyltoluamide_0_1	CCN(CC)C(=O)c1cccc(C)c1	100						
										
Atrazine	1	atrazine_1_1	CCNc1nc(Cl)[nH+]c(NC(C)C)n1							
Atrazine	1	atrazine_1_2	CCNc1nc(NC(C)C)nc(Cl)[nH+]1							
Atrazine	1	atrazine_1_3	CCNc1nc(Cl)nc(NC(C)C)[nH+]1							
Atrazine	0	atrazine_0_1	CCNc1nc(Cl)nc(NC(C)C)n1							
Atrazine	-1	atrazine_-1_1	CCNc1nc(Cl)nc([N-]C(C)C)n1							
Atrazine	-1	atrazine_-1_2	CC[N-]c1nc(Cl)nc(NC(C)C)n1							
Atrazine	-2	atrazine_-2_1	CC[N-]c1nc(Cl)nc([N-]C(C)C)n1	100						
										
Tetracycline	2	tetracycline_2_1	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(O)=[NH2+])=C1O)C(=O)c1c(O)cccc1C3(C)O							
Tetracycline	1	tetracycline_1_2	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C([O-])=[NH2+])=C1O)C(=O)c1c(O)cccc1C3(C)O							
Tetracycline	1	tetracycline_1_1	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(O)=[NH2+])=C1[O-])C(=O)c1c(O)cccc1C3(C)O							
Tetracycline	0	tetracycline_0_1	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c(O)cccc1C3(C)O							
Tetracycline	-1	tetracycline_-1_2	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c([O-])cccc1C3(C)O							
Tetracycline	-1	tetracycline_-1_3	C[NH+](C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c(O)cccc1C3(C)O							
